Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Region
Kazakhstan,2010,5.514286518096924,9.908304214477539,0.9037864804267883,60.20000076293945,0.7848518490791321,-0.22540734708309174,0.8227036595344543,Central and Eastern Europe
Kazakhstan,2011,5.735662937164307,9.965378761291504,0.9049713611602783,60.720001220703125,0.8778880834579468,-0.24587450921535492,0.8017241954803467,Central and Eastern Europe
Kazakhstan,2012,5.759469509124756,9.998175621032715,0.8917166590690613,61.2400016784668,0.8398323059082031,-0.18164201080799103,0.8766818046569824,Central and Eastern Europe
Kazakhstan,2013,5.835483074188232,10.0420503616333,0.8890097141265869,61.7599983215332,0.7815910577774048,-0.2399241328239441,0.8199893832206726,Central and Eastern Europe
Kazakhstan,2014,5.970097541809082,10.068465232849121,0.7952934503555298,62.279998779296875,0.7994629740715027,-0.006787337828427553,0.8053512573242188,Central and Eastern Europe
Kazakhstan,2015,5.949995040893555,10.065778732299805,0.9313492774963379,62.79999923706055,0.7401328086853027,-0.047781284898519516,0.7138442993164062,Central and Eastern Europe
Kazakhstan,2016,5.5335516929626465,10.062498092651367,0.9278106689453125,63.400001525878906,0.7828055620193481,-0.046834081411361694,0.7020166516304016,Central and Eastern Europe
Kazakhstan,2017,5.882351398468018,10.088122367858887,0.9140931963920593,64.0,0.7452439665794373,-0.045617759227752686,0.7552506923675537,Central and Eastern Europe
Kazakhstan,2018,6.007636070251465,10.111166000366211,0.9366567134857178,64.5999984741211,0.8401829600334167,-0.10859531164169312,0.8237829804420471,Central and Eastern Europe
Kenya,2007,4.575657844543457,7.781070709228516,0.8411120772361755,51.540000915527344,0.7498422861099243,0.06883004307746887,0.7987385392189026,Sub-Saharan Africa
Kenya,2008,4.015274524688721,7.755875110626221,0.8265552520751953,52.86000061035156,0.6202957630157471,0.0036000735126435757,0.9094465374946594,Sub-Saharan Africa
Kenya,2009,4.270434856414795,7.760977745056152,0.7892203330993652,54.18000030517578,0.5835947394371033,0.11483248323202133,0.9129465222358704,Sub-Saharan Africa
Kenya,2010,4.255859375,7.814404010772705,0.8053264617919922,55.5,0.6354572176933289,0.033653274178504944,0.917921245098114,Sub-Saharan Africa
